word,manmade,shoebox,nletters,freq,nsyllables,concreteness,old_new,study_judgment,cue_condition,study_list,cue_color,box_color,show_cue,show_nocue
BRONZE,y,y,6,11,1,568,old,manmade,informed,informed4,cyan,white,1,0
LUNG,N,Y,4,16,1,569,old,manmade,informed,informed4,cyan,white,1,0
THREAD,Y,Y,6,15,1,607,old,manmade,informed,informed4,cyan,white,1,0
WOMB,N,N,4,1,1,538,old,manmade,informed,informed4,cyan,white,1,0
SOAP,Y,Y,4,22,1,598,old,manmade,informed,informed4,cyan,white,1,0
LOCKER,Y,N,6,9,2,586,old,manmade,informed,informed4,cyan,white,1,0
MOSQUITO,N,Y,8,1,3,595,old,manmade,informed,informed4,cyan,white,1,0
SAUCE,Y,Y,5,20,1,576,old,manmade,informed,informed4,cyan,white,1,0
SCAR,N,Y,4,10,1,552,old,manmade,informed,informed4,cyan,white,1,0
POSTER,Y,N,6,4,2,592,old,manmade,informed,informed4,cyan,white,1,0
ALUMINUM,y,y,8,18,4,523,old,manmade,informed,informed4,cyan,white,1,0
CEMENT,Y,Y,6,11,2,646,old,manmade,informed,informed4,cyan,white,1,0
SQUIRREL,N,Y,8,1,2,612,old,manmade,informed,informed4,cyan,white,1,0
TOAD,N,Y,4,4,1,568,old,manmade,informed,informed4,cyan,white,1,0
PLUG,Y,Y,4,23,1,558,old,manmade,informed,informed4,cyan,white,1,0
MINERAL,N,Y,7,12,3,527,old,manmade,informed,informed4,cyan,white,1,0
SUGAR,N,Y,5,34,2,620,old,manmade,informed,informed4,cyan,white,1,0
FEAST,Y,N,5,3,1,542,old,manmade,informed,informed4,cyan,white,1,0
BROOM,Y,N,5,2,1,613,old,manmade,informed,informed4,cyan,white,1,0
CLOSET,Y,N,6,16,2,599,old,manmade,informed,informed4,cyan,white,1,0
CHERRY,N,Y,6,6,2,611,old,manmade,informed,informed4,cyan,white,1,0
BEAN,N,Y,4,5,1,604,old,manmade,informed,informed4,cyan,white,1,0
LANE,Y,N,4,30,1,537,old,manmade,informed,informed4,cyan,white,1,0
DEER,N,N,4,13,1,631,old,manmade,informed,informed4,cyan,white,1,0
LINEN,Y,Y,5,6,2,581,old,manmade,informed,informed4,cyan,white,1,0
BIRCH,N,N,5,2,1,620,old,shoebox,informed,informed4,red,white,1,0
TOBACCO,N,Y,7,19,3,609,old,shoebox,informed,informed4,red,white,1,0
FOREARM,N,Y,7,3,2,608,old,shoebox,informed,informed4,red,white,1,0
PENCIL,Y,Y,6,34,2,617,old,shoebox,informed,informed4,red,white,1,0
SOCCER,Y,N,6,3,2,524,old,shoebox,informed,informed4,red,white,1,0
BUTTON,Y,Y,6,10,2,613,old,shoebox,informed,informed4,red,white,1,0
TOOTH,N,Y,5,20,1,619,old,shoebox,informed,informed4,red,white,1,0
CABLE,Y,Y,5,7,2,544,old,shoebox,informed,informed4,red,white,1,0
CARROT,N,Y,6,1,2,622,old,shoebox,informed,informed4,red,white,1,0
VINEGAR,y,y,7,9,3,645,old,shoebox,informed,informed4,red,white,1,0
PLANK,Y,N,5,7,1,592,old,shoebox,informed,informed4,red,white,1,0
BOOTH,Y,N,5,7,1,556,old,shoebox,informed,informed4,red,white,1,0
CHISEL,y,y,6,4,2,597,old,shoebox,informed,informed4,red,white,1,0
GRAPHITE,n,y,8,5,2,562,old,shoebox,informed,informed4,red,white,1,0
COAL,N,Y,4,32,1,584,old,shoebox,informed,informed4,red,white,1,0
LIMB,N,N,4,5,1,590,old,shoebox,informed,informed4,red,white,1,0
JEWEL,N,Y,5,1,1,594,old,shoebox,informed,informed4,red,white,1,0
BATH,Y,N,4,26,1,600,old,shoebox,informed,informed4,red,white,1,0
MOSS,N,Y,4,9,1,575,old,shoebox,informed,informed4,red,white,1,0
RACQUET,y,n,7,1,2,513,old,shoebox,informed,informed4,red,white,1,0
GOLF,Y,N,4,34,1,540,old,shoebox,informed,informed4,red,white,1,0
WHIP,Y,N,4,19,1,570,old,shoebox,informed,informed4,red,white,1,0
DOLL,Y,Y,4,10,1,588,old,shoebox,informed,informed4,red,white,1,0
SPICE,N,Y,5,4,1,590,old,shoebox,informed,informed4,red,white,1,0
STATUE,Y,N,6,17,2,600,old,shoebox,informed,informed4,red,white,1,0
CORN,n,y,4,34,1,576,old,manmade,informed,informed4,cyan,white,1,0
ROPE,Y,Y,4,15,1,608,old,manmade,informed,informed4,cyan,white,1,0
PEARL,N,Y,5,9,1,597,old,manmade,informed,informed4,cyan,white,1,0
IVORY,N,Y,5,17,3,571,old,manmade,informed,informed4,cyan,white,1,0
BACTERIA,N,Y,8,8,3,560,old,manmade,informed,informed4,cyan,white,1,0
LAMB,N,N,4,7,1,633,old,manmade,informed,informed4,cyan,white,1,0
LUMBER,n,n,6,35,2,560,old,manmade,informed,informed4,cyan,white,1,0
COUCH,Y,N,5,12,1,578,old,manmade,informed,informed4,cyan,white,1,0
FABRIC,y,y,6,15,2,565,old,manmade,informed,informed4,cyan,white,1,0
GARLIC,N,Y,6,4,2,636,old,manmade,informed,informed4,cyan,white,1,0
STRING,Y,Y,6,19,1,570,old,manmade,informed,informed4,cyan,white,1,0
COSTUME,Y,N,7,10,2,544,old,manmade,informed,informed4,cyan,white,1,0
DECK,Y,N,4,23,1,566,old,manmade,informed,informed4,cyan,white,1,0
POLLEN,N,Y,6,11,2,584,old,manmade,informed,informed4,cyan,white,1,0
BONE,N,Y,4,33,1,588,old,manmade,informed,informed4,cyan,white,1,0
TROLLEY,y,n,7,5,2,579,old,manmade,informed,informed4,cyan,white,1,0
DAWN,N,N,4,28,1,501,old,manmade,informed,informed4,cyan,white,1,0
VINE,N,Y,4,4,1,601,old,manmade,informed,informed4,cyan,white,1,0
BUBBLE,N,Y,6,12,2,563,old,manmade,informed,informed4,cyan,white,1,0
CHAPEL,Y,N,6,20,2,587,old,manmade,informed,informed4,cyan,white,1,0
BLOSSOM,N,Y,7,7,2,559,old,manmade,informed,informed4,cyan,white,1,0
OATMEAL,Y,Y,7,1,2,552,old,manmade,informed,informed4,cyan,white,1,0
VELVET,Y,Y,6,4,2,580,old,manmade,informed,informed4,cyan,white,1,0
RAMP,Y,N,4,6,1,538,old,manmade,informed,informed4,cyan,white,1,0
PLATE,Y,Y,5,22,1,595,old,manmade,informed,informed4,cyan,white,1,0
TUNNEL,Y,N,6,10,2,555,old,shoebox,informed,informed4,red,white,1,0
TENNIS,Y,N,6,15,2,574,old,shoebox,informed,informed4,red,white,1,0
FACTORY,Y,N,7,32,3,586,old,shoebox,informed,informed4,red,white,1,0
SODA,Y,Y,4,3,2,600,old,shoebox,informed,informed4,red,white,1,0
JUICE,N,Y,5,11,1,599,old,shoebox,informed,informed4,red,white,1,0
POTATO,N,Y,6,15,3,629,old,shoebox,informed,informed4,red,white,1,0
GOAT,N,N,4,6,1,636,old,shoebox,informed,informed4,red,white,1,0
CARPET,Y,N,6,13,2,581,old,shoebox,informed,informed4,red,white,1,0
COIN,Y,Y,4,10,1,581,old,shoebox,informed,informed4,red,white,1,0
FLOWER,N,Y,6,23,1,584,old,shoebox,informed,informed4,red,white,1,0
JACKET,Y,N,6,33,2,635,old,shoebox,informed,informed4,red,white,1,0
VEHICLE,Y,N,7,35,3,558,old,shoebox,informed,informed4,red,white,1,0
GRAPH,Y,Y,5,17,1,553,old,shoebox,informed,informed4,red,white,1,0
SHRIMP,N,Y,6,2,1,629,old,shoebox,informed,informed4,red,white,1,0
MONKEY,N,N,6,9,2,566,old,shoebox,informed,informed4,red,white,1,0
APPLE,N,Y,5,9,2,620,old,shoebox,informed,informed4,red,white,1,0
ROBIN,N,Y,5,2,2,637,old,shoebox,informed,informed4,red,white,1,0
CARRIAGE,Y,N,8,11,2,576,old,shoebox,informed,informed4,red,white,1,0
BAGPIPE,Y,N,7,1,2,601,old,shoebox,informed,informed4,red,white,1,0
PALACE,Y,N,6,38,2,579,old,shoebox,informed,informed4,red,white,1,0
CABIN,Y,N,5,23,2,596,old,shoebox,informed,informed4,red,white,1,0
OCEAN,N,N,5,34,2,593,old,shoebox,informed,informed4,red,white,1,0
CLOAK,Y,Y,5,3,1,543,old,shoebox,informed,informed4,red,white,1,0
FURNACE,Y,N,7,11,2,600,old,shoebox,informed,informed4,red,white,1,0
BUSH,N,N,4,14,1,585,old,shoebox,informed,informed4,red,white,1,0
RACKET,Y,N,6,5,2,562,old,manmade,uninformed,uninformed4,white,cyan,1,0
SALAD,Y,Y,5,9,2,595,old,manmade,uninformed,uninformed4,white,cyan,1,0
PORK,N,N,4,10,1,585,old,manmade,uninformed,uninformed4,white,cyan,1,0
SWAMP,n,n,5,5,1,570,old,manmade,uninformed,uninformed4,white,cyan,1,0
SHELL,N,Y,5,22,1,597,old,manmade,uninformed,uninformed4,white,cyan,1,0
STEAM,N,Y,5,17,1,552,old,manmade,uninformed,uninformed4,white,cyan,1,0
PEAR,N,Y,4,6,1,634,old,manmade,uninformed,uninformed4,white,cyan,1,0
JEEP,Y,N,4,16,1,622,old,manmade,uninformed,uninformed4,white,cyan,1,0
CHALK,Y,Y,5,3,1,634,old,manmade,uninformed,uninformed4,white,cyan,1,0
COTTON,N,Y,6,38,2,608,old,manmade,uninformed,uninformed4,white,cyan,1,0
TRIBE,Y,N,5,4,1,504,old,manmade,uninformed,uninformed4,white,cyan,1,0
LODGE,Y,N,5,19,1,538,old,manmade,uninformed,uninformed4,white,cyan,1,0
CEILING,Y,N,7,31,2,606,old,manmade,uninformed,uninformed4,white,cyan,1,0
WAND,y,y,4,1,1,570,old,manmade,uninformed,uninformed4,white,cyan,1,0
MAPLE,N,N,5,7,2,534,old,manmade,uninformed,uninformed4,white,cyan,1,0
CASH,Y,Y,4,36,1,547,old,manmade,uninformed,uninformed4,white,cyan,1,0
ANKLE,N,Y,5,8,2,608,old,manmade,uninformed,uninformed4,white,cyan,1,0
TRACTOR,Y,N,7,24,2,590,old,manmade,uninformed,uninformed4,white,cyan,1,0
PACKAGE,y,n,7,20,2,580,old,manmade,uninformed,uninformed4,white,cyan,1,0
STOVE,Y,N,5,15,1,591,old,manmade,uninformed,uninformed4,white,cyan,1,0
TANK,Y,N,4,12,1,581,old,manmade,uninformed,uninformed4,white,cyan,1,0
KETTLE,Y,N,6,3,2,602,old,manmade,uninformed,uninformed4,white,cyan,1,0
MAMMAL,n,n,6,1,2,549,old,manmade,uninformed,uninformed4,white,cyan,1,0
STAIN,N,Y,5,6,1,535,old,manmade,uninformed,uninformed4,white,cyan,1,0
SPRAY,Y,Y,5,16,1,514,old,manmade,uninformed,uninformed4,white,cyan,1,0
COLLAR,Y,Y,6,17,2,622,old,shoebox,uninformed,uninformed4,white,red,1,0
FISH,N,Y,4,35,1,597,old,shoebox,uninformed,uninformed4,white,red,1,0
NICKEL,n,y,6,7,2,597,old,shoebox,uninformed,uninformed4,white,red,1,0
CLARINET,Y,N,8,1,3,633,old,shoebox,uninformed,uninformed4,white,red,1,0
PATCH,Y,Y,5,13,1,558,old,shoebox,uninformed,uninformed4,white,red,1,0
LAMP,Y,N,4,18,1,615,old,shoebox,uninformed,uninformed4,white,red,1,0
SPARK,N,Y,5,12,1,526,old,shoebox,uninformed,uninformed4,white,red,1,0
SHOE,Y,Y,4,14,1,600,old,shoebox,uninformed,uninformed4,white,red,1,0
GALLERY,Y,N,7,31,3,569,old,shoebox,uninformed,uninformed4,white,red,1,0
KNUCKLE,Y,Y,7,3,2,586,old,shoebox,uninformed,uninformed4,white,red,1,0
JADE,N,Y,4,1,1,570,old,shoebox,uninformed,uninformed4,white,red,1,0
PODIUM,Y,N,6,1,2,546,old,shoebox,uninformed,uninformed4,white,red,1,0
BATON,y,y,5,10,2,570,old,shoebox,uninformed,uninformed4,white,red,1,0
SPEAR,Y,N,5,7,1,584,old,shoebox,uninformed,uninformed4,white,red,1,0
STEW,Y,Y,4,5,1,603,old,shoebox,uninformed,uninformed4,white,red,1,0
BOAR,n,n,4,1,1,558,old,shoebox,uninformed,uninformed4,white,red,1,0
COFFIN,Y,N,6,7,2,595,old,shoebox,uninformed,uninformed4,white,red,1,0
BIRD,N,Y,4,31,1,602,old,shoebox,uninformed,uninformed4,white,red,1,0
GLACIER,n,n,7,1,2,590,old,shoebox,uninformed,uninformed4,white,red,1,0
SUNBURN,N,N,7,5,2,563,old,shoebox,uninformed,uninformed4,white,red,1,0
ORGAN,N,Y,5,12,2,596,old,shoebox,uninformed,uninformed4,white,red,1,0
CAMEL,N,N,5,1,2,597,old,shoebox,uninformed,uninformed4,white,red,1,0
HATCHET,y,y,7,4,2,607,old,shoebox,uninformed,uninformed4,white,red,1,0
PRAIRIE,n,n,7,21,2,575,old,shoebox,uninformed,uninformed4,white,red,1,0
FRUIT,N,Y,5,35,1,612,old,shoebox,uninformed,uninformed4,white,red,1,0
TULIP,N,Y,5,4,2,619,old,manmade,uninformed,uninformed4,white,cyan,1,0
SKIRT,Y,Y,5,21,1,614,old,manmade,uninformed,uninformed4,white,cyan,1,0
WOLF,N,N,4,6,1,595,old,manmade,uninformed,uninformed4,white,cyan,1,0
CEREAL,Y,Y,6,17,2,637,old,manmade,uninformed,uninformed4,white,cyan,1,0
TOOL,Y,Y,4,40,1,570,old,manmade,uninformed,uninformed4,white,cyan,1,0
ELEPHANT,N,N,8,7,3,628,old,manmade,uninformed,uninformed4,white,cyan,1,0
VEIN,N,Y,4,25,1,553,old,manmade,uninformed,uninformed4,white,cyan,1,0
KENNEL,Y,N,6,3,2,611,old,manmade,uninformed,uninformed4,white,cyan,1,0
ONION,N,Y,5,15,2,632,old,manmade,uninformed,uninformed4,white,cyan,1,0
SODIUM,n,y,6,12,2,511,old,manmade,uninformed,uninformed4,white,cyan,1,0
JAIL,Y,N,4,21,1,590,old,manmade,uninformed,uninformed4,white,cyan,1,0
YACHT,Y,N,5,4,1,606,old,manmade,uninformed,uninformed4,white,cyan,1,0
BOOT,Y,Y,4,13,1,595,old,manmade,uninformed,uninformed4,white,cyan,1,0
HERB,N,Y,4,7,1,558,old,manmade,uninformed,uninformed4,white,cyan,1,0
BOUQUET,y,y,7,4,2,566,old,manmade,uninformed,uninformed4,white,cyan,1,0
PIANO,Y,N,5,38,3,615,old,manmade,uninformed,uninformed4,white,cyan,1,0
NAPKIN,Y,Y,6,3,2,585,old,manmade,uninformed,uninformed4,white,cyan,1,0
FORK,Y,Y,4,14,1,592,old,manmade,uninformed,uninformed4,white,cyan,1,0
LIME,N,Y,4,13,1,590,old,manmade,uninformed,uninformed4,white,cyan,1,0
HAWK,N,N,4,14,1,623,old,manmade,uninformed,uninformed4,white,cyan,1,0
BANANA,N,Y,6,4,3,633,old,manmade,uninformed,uninformed4,white,cyan,1,0
BEEF,N,Y,4,32,1,637,old,manmade,uninformed,uninformed4,white,cyan,1,0
FOIL,y,y,4,20,1,509,old,manmade,uninformed,uninformed4,white,cyan,1,0
HEDGE,Y,N,5,2,1,615,old,manmade,uninformed,uninformed4,white,cyan,1,0
EAGLE,N,N,5,5,2,616,old,manmade,uninformed,uninformed4,white,cyan,1,0
BUCKET,Y,N,6,7,2,594,old,shoebox,uninformed,uninformed4,white,red,1,0
BLADE,y,y,5,13,1,584,old,shoebox,uninformed,uninformed4,white,red,1,0
COPPER,n,y,6,13,2,547,old,shoebox,uninformed,uninformed4,white,red,1,0
PLUM,N,Y,4,1,1,632,old,shoebox,uninformed,uninformed4,white,red,1,0
KNOB,Y,Y,4,2,1,586,old,shoebox,uninformed,uninformed4,white,red,1,0
TEAR,N,Y,4,11,1,504,old,shoebox,uninformed,uninformed4,white,red,1,0
MOUSE,N,Y,5,10,1,624,old,shoebox,uninformed,uninformed4,white,red,1,0
MUSTARD,Y,Y,7,20,2,595,old,shoebox,uninformed,uninformed4,white,red,1,0
POLE,Y,N,4,18,1,577,old,shoebox,uninformed,uninformed4,white,red,1,0
ARMOR,y,n,5,4,2,544,old,shoebox,uninformed,uninformed4,white,red,1,0
MAHOGANY,n,n,8,8,4,513,old,shoebox,uninformed,uninformed4,white,red,1,0
ZIPPER,y,y,6,1,2,599,old,shoebox,uninformed,uninformed4,white,red,1,0
PEACH,N,Y,5,3,1,617,old,shoebox,uninformed,uninformed4,white,red,1,0
TAPE,Y,Y,4,35,1,564,old,shoebox,uninformed,uninformed4,white,red,1,0
WHISTLE,Y,Y,7,4,2,579,old,shoebox,uninformed,uninformed4,white,red,1,0
GRAVY,y,y,5,4,2,606,old,shoebox,uninformed,uninformed4,white,red,1,0
LAWN,Y,N,4,15,1,588,old,shoebox,uninformed,uninformed4,white,red,1,0
RUBBER,y,y,6,15,2,596,old,shoebox,uninformed,uninformed4,white,red,1,0
SPIKE,y,y,5,2,1,572,old,shoebox,uninformed,uninformed4,white,red,1,0
SHED,Y,N,4,11,1,611,old,shoebox,uninformed,uninformed4,white,red,1,0
ORNAMENT,y,y,8,4,3,615,old,shoebox,uninformed,uninformed4,white,red,1,0
ALGAE,n,y,5,7,2,545,old,shoebox,uninformed,uninformed4,white,red,1,0
NEEDLE,Y,Y,6,15,2,608,old,shoebox,uninformed,uninformed4,white,red,1,0
TRASH,Y,Y,5,2,1,588,old,shoebox,uninformed,uninformed4,white,red,1,0
ASPIRIN,y,y,7,3,3,574,old,shoebox,uninformed,uninformed4,white,red,1,0
CANOE,y,n,5,7,2,623,old,manmade,uncued,uncued4,n/a,cyan,0,1
CHOIR,Y,N,5,8,1,567,old,manmade,uncued,uncued4,n/a,cyan,0,1
RUST,N,Y,4,10,1,553,old,manmade,uncued,uncued4,n/a,cyan,0,1
BANNER,Y,Y,6,8,2,567,old,manmade,uncued,uncued4,n/a,cyan,0,1
CROWN,y,y,5,19,1,586,old,manmade,uncued,uncued4,n/a,cyan,0,1
OYSTER,N,Y,6,6,2,573,old,manmade,uncued,uncued4,n/a,cyan,0,1
FLAG,Y,Y,4,16,1,606,old,manmade,uncued,uncued4,n/a,cyan,0,1
LEAF,N,Y,4,12,1,593,old,manmade,uncued,uncued4,n/a,cyan,0,1
FLAME,N,Y,5,17,1,582,old,manmade,uncued,uncued4,n/a,cyan,0,1
SATIN,Y,Y,5,5,2,594,old,manmade,uncued,uncued4,n/a,cyan,0,1
SURF,N,N,4,1,1,527,old,manmade,uncued,uncued4,n/a,cyan,0,1
MEAL,Y,Y,4,30,1,602,old,manmade,uncued,uncued4,n/a,cyan,0,1
BASS,N,Y,4,16,1,547,old,manmade,uncued,uncued4,n/a,cyan,0,1
PYTHON,N,N,6,14,2,580,old,manmade,uncued,uncued4,n/a,cyan,0,1
SPINACH,N,Y,7,2,2,589,old,manmade,uncued,uncued4,n/a,cyan,0,1
SCISSORS,Y,Y,8,1,2,596,old,manmade,uncued,uncued4,n/a,cyan,0,1
FENCE,Y,N,5,30,1,597,old,manmade,uncued,uncued4,n/a,cyan,0,1
LATCH,y,y,5,5,1,578,old,manmade,uncued,uncued4,n/a,cyan,0,1
WHEAT,N,Y,5,9,1,594,old,manmade,uncued,uncued4,n/a,cyan,0,1
CLOUD,N,N,5,28,1,554,old,manmade,uncued,uncued4,n/a,cyan,0,1
HOCKEY,Y,N,6,1,2,535,old,manmade,uncued,uncued4,n/a,cyan,0,1
SHOWER,Y,N,6,15,1,588,old,manmade,uncued,uncued4,n/a,cyan,0,1
SOUP,Y,Y,4,16,1,615,old,manmade,uncued,uncued4,n/a,cyan,0,1
COTTAGE,y,n,7,19,2,593,old,manmade,uncued,uncued4,n/a,cyan,0,1
SAIL,Y,N,4,12,1,567,old,manmade,uncued,uncued4,n/a,cyan,0,1
SPADE,Y,Y,5,10,1,565,old,shoebox,uncued,uncued4,n/a,red,0,1
SALOON,Y,N,6,12,2,575,old,shoebox,uncued,uncued4,n/a,red,0,1
TOWER,y,n,5,13,2,585,old,shoebox,uncued,uncued4,n/a,red,0,1
MAGAZINE,Y,Y,8,39,3,588,old,shoebox,uncued,uncued4,n/a,red,0,1
BALLOON,Y,Y,7,10,2,623,old,shoebox,uncued,uncued4,n/a,red,0,1
BASEMENT,Y,N,8,31,2,585,old,shoebox,uncued,uncued4,n/a,red,0,1
ANCHOR,y,n,6,15,2,595,old,shoebox,uncued,uncued4,n/a,red,0,1
SPRUCE,N,N,6,5,1,568,old,shoebox,uncued,uncued4,n/a,red,0,1
TOILET,Y,N,6,13,2,586,old,shoebox,uncued,uncued4,n/a,red,0,1
RAIL,Y,N,4,16,1,540,old,shoebox,uncued,uncued4,n/a,red,0,1
LOCK,Y,Y,4,23,1,565,old,shoebox,uncued,uncued4,n/a,red,0,1
DIAL,Y,Y,4,1,1,537,old,shoebox,uncued,uncued4,n/a,red,0,1
TOMATO,N,Y,6,4,3,662,old,shoebox,uncued,uncued4,n/a,red,0,1
CROW,N,Y,4,2,1,590,old,shoebox,uncued,uncued4,n/a,red,0,1
SOCK,Y,Y,4,4,1,581,old,shoebox,uncued,uncued4,n/a,red,0,1
NECKLACE,Y,Y,8,3,2,633,old,shoebox,uncued,uncued4,n/a,red,0,1
LOBSTER,N,Y,7,1,2,590,old,shoebox,uncued,uncued4,n/a,red,0,1
GARBAGE,Y,Y,7,7,2,572,old,shoebox,uncued,uncued4,n/a,red,0,1
STOOL,Y,N,5,8,1,592,old,shoebox,uncued,uncued4,n/a,red,0,1
CANDLE,Y,Y,6,18,2,565,old,shoebox,uncued,uncued4,n/a,red,0,1
HARE,N,N,4,1,1,615,old,shoebox,uncued,uncued4,n/a,red,0,1
RIDGE,n,n,5,18,1,547,old,shoebox,uncued,uncued4,n/a,red,0,1
GARDENIA,N,Y,8,1,3,576,old,shoebox,uncued,uncued4,n/a,red,0,1
VASE,Y,N,4,4,1,595,old,shoebox,uncued,uncued4,n/a,red,0,1
TIDE,N,N,4,11,1,516,old,shoebox,uncued,uncued4,n/a,red,0,1
CAMERA,Y,Y,6,36,2,627,old,manmade,uncued,uncued4,n/a,cyan,0,1
CHART,Y,Y,5,22,1,532,old,manmade,uncued,uncued4,n/a,cyan,0,1
WRECK,Y,N,5,8,1,505,old,manmade,uncued,uncued4,n/a,cyan,0,1
POISON,N,Y,6,10,2,527,old,manmade,uncued,uncued4,n/a,cyan,0,1
TAIL,N,Y,4,24,1,613,old,manmade,uncued,uncued4,n/a,cyan,0,1
KITTEN,N,Y,6,5,2,612,old,manmade,uncued,uncued4,n/a,cyan,0,1
TRUMPET,Y,N,7,7,2,608,old,manmade,uncued,uncued4,n/a,cyan,0,1
GLOVE,Y,Y,5,9,1,607,old,manmade,uncued,uncued4,n/a,cyan,0,1
CAVE,N,N,4,9,1,592,old,manmade,uncued,uncued4,n/a,cyan,0,1
TOAST,Y,Y,5,19,1,582,old,manmade,uncued,uncued4,n/a,cyan,0,1
ABDOMEN,N,Y,7,6,3,586,old,manmade,uncued,uncued4,n/a,cyan,0,1
BASKET,y,n,6,17,2,606,old,manmade,uncued,uncued4,n/a,cyan,0,1
CHESTNUT,N,Y,8,5,2,600,old,manmade,uncued,uncued4,n/a,cyan,0,1
CHEESE,Y,Y,6,9,1,624,old,manmade,uncued,uncued4,n/a,cyan,0,1
MEADOW,n,n,6,17,2,594,old,manmade,uncued,uncued4,n/a,cyan,0,1
TENT,Y,N,4,20,1,608,old,manmade,uncued,uncued4,n/a,cyan,0,1
STEM,N,Y,4,29,1,556,old,manmade,uncued,uncued4,n/a,cyan,0,1
CALF,N,N,4,11,1,592,old,manmade,uncued,uncued4,n/a,cyan,0,1
NOZZLE,Y,Y,6,4,2,555,old,manmade,uncued,uncued4,n/a,cyan,0,1
CABBAGE,N,Y,7,4,2,611,old,manmade,uncued,uncued4,n/a,cyan,0,1
SLEEVE,Y,Y,6,11,1,587,old,manmade,uncued,uncued4,n/a,cyan,0,1
THUNDER,N,N,7,14,2,547,old,manmade,uncued,uncued4,n/a,cyan,0,1
SWORD,Y,N,5,7,1,577,old,manmade,uncued,uncued4,n/a,cyan,0,1
ALLEY,Y,N,5,8,2,557,old,manmade,uncued,uncued4,n/a,cyan,0,1
BLANKET,Y,N,7,30,2,622,old,manmade,uncued,uncued4,n/a,cyan,0,1
MENU,Y,Y,4,5,2,555,old,shoebox,uncued,uncued4,n/a,red,0,1
LION,N,N,4,17,1,627,old,shoebox,uncued,uncued4,n/a,red,0,1
CIDER,Y,Y,5,2,2,626,old,shoebox,uncued,uncued4,n/a,red,0,1
PICKLE,Y,Y,6,1,2,606,old,shoebox,uncued,uncued4,n/a,red,0,1
THUMB,N,Y,5,10,1,638,old,shoebox,uncued,uncued4,n/a,red,0,1
PILLOW,Y,N,6,8,2,613,old,shoebox,uncued,uncued4,n/a,red,0,1
SINK,y,n,4,23,1,590,old,shoebox,uncued,uncued4,n/a,red,0,1
SEAM,Y,Y,4,9,1,538,old,shoebox,uncued,uncued4,n/a,red,0,1
STICK,N,Y,5,39,1,604,old,shoebox,uncued,uncued4,n/a,red,0,1
LEMON,N,Y,5,18,2,608,old,shoebox,uncued,uncued4,n/a,red,0,1
SPONGE,Y,Y,6,7,1,597,old,shoebox,uncued,uncued4,n/a,red,0,1
WORM,N,Y,4,4,1,611,old,shoebox,uncued,uncued4,n/a,red,0,1
BLOUSE,Y,Y,6,1,1,640,old,shoebox,uncued,uncued4,n/a,red,0,1
SUNSET,N,N,6,14,2,525,old,shoebox,uncued,uncued4,n/a,red,0,1
SKULL,N,N,5,3,1,570,old,shoebox,uncued,uncued4,n/a,red,0,1
DISC,y,y,4,6,1,553,old,shoebox,uncued,uncued4,n/a,red,0,1
TIGER,N,N,5,7,2,611,old,shoebox,uncued,uncued4,n/a,red,0,1
FOOTBALL,Y,Y,8,36,2,584,old,shoebox,uncued,uncued4,n/a,red,0,1
GINGER,N,Y,6,2,2,522,old,shoebox,uncued,uncued4,n/a,red,0,1
BARK,N,Y,4,14,1,563,old,shoebox,uncued,uncued4,n/a,red,0,1
TRIANGLE,N,Y,8,4,3,523,old,shoebox,uncued,uncued4,n/a,red,0,1
PINE,N,N,4,14,1,592,old,shoebox,uncued,uncued4,n/a,red,0,1
CREAM,Y,Y,5,20,1,621,old,shoebox,uncued,uncued4,n/a,red,0,1
DRUM,Y,N,4,11,1,602,old,shoebox,uncued,uncued4,n/a,red,0,1
DRAIN,Y,Y,5,18,1,591,old,shoebox,uncued,uncued4,n/a,red,0,1
